"chat","yhat"
0,15.537857577347
1,14.0706477539646
0,15.827280652717
0,11.5090995269694
0,15.4187655617627
1,16.0026992836355
0,16.053896952306
0,14.645498033312
0,12.4338196649229
0,16.7748253404576
0,13.4072719384285
0,13.6334186099584
0,13.3280607352145
1,14.700934692253
0,14.2952052780221
0,14.1423583942303
0,14.9369040178977
0,15.6089182722327
1,14.1081453692503
1,12.7729908727896
0,13.4367684109807
0,11.5031356873745
0,16.1528346364217
0,14.9599275118977
0,14.691397248037
1,14.1091201206319
0,16.2143808154791
0,14.8603548267359
0,14.1426996774116
0,11.5814755297383
0,13.9245252684935
1,17.1377173451446
0,12.9500560416844
0,13.91013407634
0,14.312217256127
0,13.9448366410165
0,13.0710995035032
0,13.2983505596737
0,12.5720465717117
0,14.4667828287656
0,16.3767036866126
0,14.5563942401198
0,15.7463987350399
0,12.8103109644021
0,11.5505460523544
0,13.4729649201824
0,12.901909936523
0,13.9576503466803
0,14.7298564077601
0,15.1817661995335
0,15.4720509128106
0,15.0054426114452
0,15.4000971546779
0,11.8021788895455
0,12.9561733375894
0,14.1994827528862
0,11.2358551364695
1,13.1934214960817
0,13.5549061843604
0,14.2173778488664
1,13.4222365768966
1,12.8843038481334
0,13.3554491597073
0,15.7587711274041
0,14.5086993795805
0,15.0207897384396
0,11.9279202260023
0,14.3775432927238
0,13.7985911223757
0,12.4269453145053
1,17.2803671262276
0,13.9369073452806
1,15.7349649830927
1,16.837675586096
0,14.2683133476167
0,15.307968006006
0,14.1960038069221
0,15.4220144626749
0,14.0417259614923
0,14.7126264008222
0,14.9024455832869
0,11.4891264702535
0,14.3629929945954
0,13.3505290987071
0,15.1307875967241
0,11.7943361423269
0,13.5745560296168
0,15.3436777466106
0,15.190993983986
0,16.1931871744233
0,15.4537535059684
0,17.6098877907313
0,13.3829274797398
0,15.2463340126719
0,15.4522423749821
0,16.9164652598627
0,14.505166370791
0,16.0109189621707
1,16.1647438603558
0,14.3172938465091
0,12.5755154400627
1,17.95227754306
0,14.4652063199452
0,14.0897283010037
0,14.2513239536588
0,15.888846496383
0,14.1006402827357
0,15.3808539789287
0,15.0686757168457
0,15.0886630563179
0,15.3601691788993
0,14.4970704237179
0,13.8082823714228
1,13.1115367327829
0,14.4898243463384
0,13.3187801323569
0,13.1255550834243
0,13.1680716210129
0,13.080653004654
0,12.2004711644688
0,12.8479296525517
0,13.7496046482352
0,13.9643823853367
0,12.3601994385896
0,16.4044086428574
0,13.9748255755102
1,13.7611074005284
1,16.1058008619608
0,13.4746138481256
0,11.8753305960048
0,11.9547858976845
0,16.2896832164177
0,14.0425003128221
1,14.0000423911612
0,13.5361837018436
0,14.0860970302087
0,13.4764406204189
0,16.0880310591823
0,14.7075277209189
0,14.6723556025792
0,13.3006306899841
0,11.1676459555898
1,14.2701439296513
0,15.0778959674072
0,16.5784824036837
0,16.4117886867043
0,12.3796343377894
0,13.1518714608058
0,16.1082470803225
1,14.6937818450374
0,13.0416225991656
0,14.2936842595128
0,15.9745488789734
0,14.131022296657
0,14.3712393953902
0,14.7460764191246
0,14.5979202793429
0,15.2351953634281
0,14.1007552326911
0,11.918592131291
1,15.581988194837
0,13.2475667667686
1,16.8251531883443
0,16.2604502224671
1,13.7839958329247
0,13.6450178390964
0,13.3393050498129
0,13.7591569139714
0,13.1792293974285
0,12.813762020547
0,16.0679657493033
0,15.1257481963615
1,13.6417758424643
1,13.5263123450856
1,13.6890801582476
0,12.904011940789
0,14.7698965996055
0,16.4369538542146
0,14.357073331609
0,12.5413882205251
1,13.8547387495183
0,14.6280130713438
1,14.2293063876706
0,14.2433076923301
1,11.4195709790767
0,14.4218358581419
0,12.1285852058132
0,12.8032335337857
0,13.357533188794
0,12.6401462287241
0,15.4426023609681
0,16.4908951569034
0,12.7236046586355
1,13.9314408757551
0,14.3389949135407
0,16.1460970126656
0,15.599799473153
1,13.9609811818675
0,12.6842477480898
0,14.2809105921159
0,13.9882271022076
0,13.4738259291254
0,16.6603882090818
0,15.1592476380651
0,12.9186051851409
0,15.4002531288601
1,15.9042969789657
0,12.2367536778826
0,13.9076851300126
1,15.6385163150112
0,12.1236891973423
1,12.8546409935689
0,14.5697263917544
0,13.883657015229
0,13.6911548492433
0,16.2641421303339
0,12.5762208392844
0,16.2744760804907
1,16.2623464388152
0,14.5450631038699
0,13.6931616885894
0,12.3243959020018
0,12.4844911449398
0,15.6494279490364
0,13.5873291783773
0,15.345334861716
0,14.7670458389279
0,14.0217430599391
0,16.3588184330707
0,16.6034969769022
0,12.3541975523397
0,14.9952588375556
0,15.655450217027
0,17.3570041461999
0,14.6560062329467
0,12.8405271479819
0,12.8056236906549
0,13.9937586872171
1,14.8784178900761
0,12.7445484111991
0,13.7032880637346
0,14.1838719065167
0,13.9962682256896
0,14.3894029729607
0,14.4251930833192
0,14.7042632641054
0,12.4826161881968
0,13.6229878056307
0,13.5182229034329
0,14.3678227870008
0,16.1708022784384
0,13.1842388733826
0,13.9454748710775
0,12.8744375850246
0,14.7205438542414
0,13.4602584668619
1,16.4726405476521
0,13.0089066586457
0,17.2286886949301
0,12.2438103362618
1,15.3510525293875
0,13.7652136035357
0,13.5722089617186
0,13.4326811831271
1,13.6691073226033
1,12.7897464104896
0,14.9229744165044
0,16.1131614945017
0,13.0311691170366
0,13.23642526635
1,13.8682701975543
0,13.3658661532462
0,13.2635150360265
0,13.2268783768438
1,14.6312991985794
0,11.5529814875673
1,13.7290367972747
1,15.1601735564006
0,13.4069663560466
0,12.6038032410915
0,14.1346966686186
0,13.40184726689
0,14.3431306645155
0,14.7000734127901
0,12.0260884438598
0,14.5476245928197
0,13.5603031507263
0,14.3689991590912
1,12.9810801212352
0,12.1379361340561
0,17.2194397464922
0,13.6664303515063
0,15.7149257803055
1,15.1445332369799
0,13.5996339363563
0,14.2604336188616
0,14.6161895422762
0,16.0697716305584
1,14.3256920106054
0,16.0518384512855
0,14.0788397750108
0,14.8227640676307
0,14.3418484285722
0,15.9928844346497
0,13.7150162971931
0,11.2825197537893
0,12.9334918259572
0,15.1189702734876
1,13.3247671744705
0,12.6538071184998
0,14.9233385196257
0,15.0251116190344
0,16.4632739820229
1,14.9879745540676
1,16.3095695551505
0,15.1544051057033
0,11.7182847861549
0,14.9798886197133
0,14.0431211064924
0,14.9273213766386
0,16.2838328783263
0,13.6681805712063
0,12.9781358204181
0,16.046901881224
0,12.701504841835
0,13.1242835060359
0,13.978697500987
0,12.6803862482984
0,15.4352202956051
0,12.5546126278953
0,14.4819482054387
0,12.1883736003524
0,16.8516423611296
0,12.626512361399
0,14.0678178258235
0,13.0767003002678
0,16.0839375963166
0,12.6228024666867
0,14.0768464344538
0,14.3517562813303
0,14.944217427638
0,13.1006873050289
0,15.9294278911246
0,12.7756472101863
0,11.2635855648168
0,17.3710175910999
1,13.4309190144104
0,14.4738862313099
0,12.0103813128635
0,14.607933988529
0,14.6854709786139
0,12.0727870680497
1,16.4955319584826
0,14.3674256478584
0,14.9862162986332
0,11.8390911296347
0,16.7350545051478
0,13.7457449138309
0,13.5196435954096
0,14.5474365849126
0,11.6201764628112
0,14.3358604964865
0,14.912544361758
0,13.5326497765736
0,16.5495401547708
0,11.9750432129743
0,12.0133168089974
0,12.106255564118
0,13.7389525195278
0,13.7180530344161
0,13.4394712620465
0,14.9934373223933
0,13.3133397079355
1,14.7878351132687
0,12.8046802227134
0,14.6329691305917
0,13.4555658338575
0,13.6634559423683
0,13.7842651665659
0,13.393555312052
1,12.9104383600539
0,15.0481140285735
0,16.8897849931711
0,14.2836454452464
0,14.8335978458204
0,14.1338669334331
0,12.7886224032854
0,14.3980223391829
0,13.6657813366257
0,13.5952753672648
1,14.1414028256823
1,14.1395732171121
0,14.981488855047
1,15.5661427536423
0,12.6059517365996
0,17.0586474036548
1,12.923736134477
0,17.1831644513708
0,13.3766806243789
0,13.1044515796938
0,15.990118949479
0,14.7592959586743
0,14.2984885788733
0,14.6977747450004
0,13.7670937784627
0,14.8100390626007
0,13.4569494259257
0,13.7677521821723
0,13.7665866119566
0,13.7053238532136
0,14.3560048058605
0,12.407484793317
0,13.4272790541469
0,12.6360639059875
0,15.3949461689489
0,15.3042381769742
0,13.9556297591671
1,14.5176766823808
0,14.3673743715389
0,11.1366767369403
0,14.5369272809182
1,15.431727570916
0,14.3731077310703
0,14.7795245160626
1,16.1672475124578
0,13.4193083311123
1,15.3409560154829
0,11.9665823787526
0,14.0000698231823
0,14.454890809722
0,12.8862060079495
0,15.4751495897938
0,13.560229157999
0,11.0657837336022
0,13.767181174727
0,15.3752991428609
